key,name,Studied 100% TC,completed in time,completed to 100%,Date Last Visited
787,Cheapest Flights Within K Stops,,,,
621,Task Scheduler,,,,
207,Course Schedule,TRUE,FALSE,FALSE,07/04/26
1615,Maximal Network Rank,,,,
450,Delete Node in a BST,,,,
133,Clone Graph,TRUE,TRUE,FALSE,12/04/26
347,Top K Frequent Elements,,,,
973,K Closest Points to Origin,,,,
215,Kth Largest Element in an Array,,,,
2374,Node With Highest Edge Score,,,,
230,Kth Smallest Element in a BST,,,,
1382,Balance a Binary Search Tree,,,,
530,Minimum Absolute Difference in BST,,,,
653,Two Sum IV - Input is a BST,,,,
236,Lowest Common Ancestor of a Binary Tree,,,,
543,Diameter of Binary Tree,,,,
112,Path Sum,FALSE,FALSE,FALSE,12/04/26
235,Lowest Common Ancestor of a Binary Search Tree,,,,
108,Convert Sorted Array to Binary Search Tree,,,,
701,Insert into a Binary Search Tree,,,,
700,Search in a Binary Search Tree,TRUE,TRUE,FALSE,11/04/26
226,Invert Binary Tree,TRUE,TRUE,TRUE,17/04/26
100,Same Tree,,,,
102,Binary Tree Level Order Traversal,,,,
104,Maximum Depth of Binary Tree,,,,
111,Minimum Depth of Binary Tree,,,,
2073,Time Needed to Buy Tickets,,,,
92,Reverse Linked List II,,,,
637,Average of Levels in Binary Tree,,,,
912,Sort an Array,,,,
20,Valid Parentheses,,,,
21,Merge Two Sorted Lists,TRUE,FALSE,FALSE,19/04/26
225,Implement Stack using Queues,TRUE,FALSE,FALSE,11/04/26
203,Remove Linked List Elements,,,,
206,Reverse Linked List,,,,
150,Evaluate Reverse Polish Notation,,,,
155,Min Stack,,,,
234,Palindrome Linked List,,,,
46,Permutations,,,,
141,Linked List Cycle,,,,
876,Middle of the Linked List,,,,
78,Subsets,,,,
77,Combinations,,,,
784,Letter Case Permutation,,,,
303,Range Sum Query - Immutable,,,,
338,Counting Bits,,,,
53,Maximum Subarray,,,,
70,Climbing Stairs,,,,
322,Coin Change,,,,
209,Minimum Size Subarray Sum,,,,
136,Single Number,,,,
15,3Sum,,,,
200,Number of Islands,,,,
219,Contains Duplicate II,,,,
1200,Minimum Absolute Difference,,,,
54,Spiral Matrix,,,,
845,Longest Mountain in Array,,,,
977,Squares of a Sorted Array,,,,
121,Best Time to Buy and Sell Stock,,,,
1266,Minimum Time Visiting All Points,,,,
1365,How Many Numbers Are Smaller Than the Current Number,,,,
1,Two Sum,TRUE,TRUE,TRUE,19/04/2026
268,Missing Number,,,,
448,Find All Numbers Disappeared in an Array,,,,
217,Contains Duplicate,,,,
25,Reverse Nodes in k-Group,,,,
24,Swap Nodes in Pairs,,,,
515,Find Largest Value in Each Tree Row,,,,
230,Kth Smallest Element in a BST,,,,
